"code";"libellé";"description";"type";"format";"minimum";"maximum";"enum";"granularity";"constraint";"reference"
"BM";"commune_bib";"Commune de la bibliothèque";"string";"default";;;;;;
"Type rapport";"type_rapport";"Type de rapport : abrégé / basique / patrimoine";"string";"default";;;"abrégé, basique, patrimoine";;;
"Avancement";"etat_avancement";"Etat d’avancement du remplissage du rapport";"integer";"default";0;100;;;;
"Typologie";"typologie";"Typologie des bibliothèques, après 2023";"string";"default";;;"A, B, C, D, E";;;
"Typologie2C";"typologie_2c";"Typologie des bibliothèques, avant 2023";"string";"default";;;"B1, B2, B3, B4, B5";;;
"Code";"code_bib";"Code de la bibliothèque";"string";"default";;;;"annuel";"unique";"Neoscrib"
"A101";"nom_etablissement";"Nom de l'établissement";"string";"default";;;;;;
"A102";"libelle_etablissement";"Complément au nom de l’établissement";"string";"default";;;;;;
"A103";"complement_adresse";"Complément d'adresse";"string";"default";;;;;;
"A104";"numero_voie";"N°";"string";"default";;;;;;
"A105";"type_voie";"Type voie";"string";"default";;;;;;
"A106";"nom_voie";"Nom voie";"string";"default";;;;;;
"A107";"code_postal";"Code postal";"integer";"default";;;;;;
"A108";"ville";"Ville";"string";"default";;;;;;
"A109";"cedex";"Cedex";"string";"default";;;;;;
"A112";"telephone";"Téléphone *";"integer";"default";;;;;;
"A113";"fax";"Fax - Obsolète - ne pas utiliser";;;;;;;;
"A114";"courriel";"Adresse de courriel générique de l'établissement";"string";"email";;;;"annuel";"email";
"A115";"site_internet";"Adresse du site Internet de la bibliothèque";"string";"uri";;;;;;
"A116";"statut_site_internet";"Statut site";"string";"default";;;"Propre, Page sur le site de la collectivité, Page sur le site de la bibliothèque départementale";;;
"A119";"informations_adresse_mail";"La bibliothèque accepte que son adresse mail principale soit utilisée pour recevoir des informations professionnelles en provenance du Ministère de la Culture.";"boolean";"default";;;;;;
"A121";"site_internet_accessible";"La bibliothèque a-t-elle déposé une attestation de conformité de son site web aux exigences du Référentiel général d'accessibilité pour les administrations (RGAA) ?";"boolean";"default";;;;;;
"A130";"civilite_direction";"Civilité de la personne responsable de la bibliothèque";"string";"default";;;"M., Mme";"annuel";;
"A131";"nom_direction";"Nom de la personne responsable de la bibliothèque";"string";"default";;;;"annuel";;
"A132";"prenom_direction";"Prénom de la personne responsable de la bibliothèque";"string";"default";;;;"annuel";;
"A133";"statut_direction";"Statut et grade de la personne responsable de la bibliothèque";"string";"default";;;;"annuel";;
"A200";"population_collectivite";"Population de la collectivité de rattachement (commune ou groupement de communes)";"integer";"default";;;;;;
"A203";"population_etablissement";"Population effective desservie par l’établissement";"integer";"default";;;;;;
"C101";"amplitude_horaire";"Nombre d'heures d'ouverture hebdomadaires tout public";"integer";"default";0;168;;;;
"C102";"nb_jours_ouverture_annuels";"Nombre de jours d'ouverture annuels";"integer";"default";0;365;;;;
"C103";"nb_places";"Nombre de places assises disponibles";"integer";"default";;;;;;
"C106";"nb_postes_informatiques_publics";"Nombre de postes informatiques publics avec accès internet";"integer";"default";;;;;;
"C108";"nb_postes_informatiques_pro";"Nombre de postes informatiques professionnels avec accès internet";"integer";"default";;;;;;
"C110";"nb_imprimantes_en_acces_public";"Nombre d'imprimantes en accès public";"integer";"default";;;;;;
"C112";"nb_bibliobus";"Nombre de bibliobus";"integer";"default";;;;;;
"C115";"nb_jours_ouverture_hebdos";"Nombre de jours d’ouverture hebdomadaires";"integer";"default";0;7;;;;
"C116";"ouverture_le_dimanche";"La bibliothèque est-elle ouverte le dimanche ?";"boolean";"default";;;;;;
"C117";"nb_tablettes_mises_a_disposition";"Tablettes mises à la disposition du public";"integer";"default";;;;;;
"C118";"nb_liseuses_mises_a_disposition";"Liseuses mises à la disposition du public";"integer";"default";;;;;;
"C119";"nb_bornes_decoute";"Bornes d’écoute";"integer";"default";;;;;;
"C120";"connexion_wifi";"Accès wifi";"boolean";"default";;;;;;
"C121";"nb_consoles_jeux_video";"Nombre de consoles de jeux vidéo";"integer";"default";;;;;;
"C201";"catalogue_informatise";"Le catalogue de la bibliothèque est-il informatisé ?";"boolean";"default";;;;;;
"C202";"nb_notices_catalogue";"Nombre total de notices au catalogue";"integer";"default";;;;;;
"C206";"nom_et_version_sigb";"Nom et version du système de gestion de la bibliothèque";"string";"default";;;;;;
