code;libellé;description;type;format;minimum;maximum;enum;granularity;constraint;reference
BM;commune_bib;Commune de la bibliothèque;string;default;;;;;;
Type rapport;type_rapport;Type de rapport : Abrégé / Basique / Patrimoine;string;default;;;Abrégé, Basique, Patrimoine;;;
Avancement;etat_avancement;Etat d’avancement du remplissage du rapport;integer;default;0;100;;;;
Typologie;typologie;Typologie des bibliothèques, après 2023;string;default;;;A, B, C, D, E;;;
Typologie2C;typologie_2c;Typologie des bibliothèques, avant 2023;string;default;;;B1, B2, B3, B4, B5;;;
Code;code_bib;Code de la bibliothèque;string;default;;;;annuel;unique;Neoscrib
A101;nom_etablissement;Nom de l'établissement;string;default;;;;;;
A108;ville;Ville;string;default;;;;;;
A115;site_internet;Adresse du site Internet de la bibliothèque;string;uri;;;;;;
A116;statut_site_internet;Statut site;string;default;;;Propre, Page sur le site de la collectivité, Page sur le site de la bibliothèque départementale;;;
A119;informations_adresse_mail;La bibliothèque accepte que son adresse mail principale soit utilisée pour recevoir des informations professionnelles en provenance du Ministère de la Culture.;boolean;default;;;;;;
A121;site_internet_accessible;La bibliothèque a-t-elle déposé une attestation de conformité de son site web aux exigences du Référentiel général d'accessibilité pour les administrations (RGAA) ?;boolean;default;;;;;;
A203;population_etablissement;Population effective desservie par l’établissement;integer;default;;;;;;
C201;catalogue_informatise;Le catalogue de la bibliothèque est-il informatisé ?;boolean;default;;;;;;
C202;nb_notices_catalogue;Nombre total de notices au catalogue;integer;default;;;;;;
C206;nom_et_version_sigb;Nom et version du système de gestion de la bibliothèque;string;default;;;;;;
D321;autres_documents_total_fonds_um;Autres documents - Totalisation Abrégé -Fonds;integer;default;;;;;;
D322;autres_documents_total_acquisitions_um;Autres documents - Totalisation Abrégé -Acquisitions;integer;default;;;;;;
D405;documents_audiovisuels_support_livres_enregistres_fonds_um;Documents audiovisuels sur support - Documents sonores : livres enregistrés - Sur support (UM) -Total Fonds;integer;default;;;;;;
D406;documents_audiovisuels_support_livres_enregistres_acquisitions_um;Documents audiovisuels sur support- Documents sonores : livres enregistrés - Sur support (UM) - Total Acquisitions;integer;default;;;;;;
D409;documents_audiovisuels_support_total_documents_sonores_fonds_um;Documents audiovisuels sur support- Total documents sonores - Sur support (UM) - Total Fonds (hors desserte BD);integer;default;;;;;;
D410;documents_audiovisuels_support_total_documents_sonores_acquisitions_um;Documents audiovisuels sur support- Total documents sonores - Sur support (UM) - Total Acquisitions;integer;default;;;;;;
D411;documents_audiovisuels_support_total_documents_video_fonds_um;Documents audiovisuels sur support- Documents vidéo - Sur support (UM) - Total Fonds (hors desserte BD);integer;default;;;;;;
D412;documents_audiovisuels_support_total_documents_video_acquisitions_um;Documents audiovisuels sur support - Documents vidéo - Sur support (UM) - Total Acquisitions;integer;default;;;;;;
D417;documents_audiovisuels_support_livres_enregistres_eliminations_um;Documents audiovisuels sur support - Documents sonores : livres enregistrés -Sur support (UM) - Total Éliminations;integer;default;;;;;;
D418;documents_audiovisuels_support_total_documents_sonores_eliminations_um;Documents audiovisuels sur support - Total documents sonores - Sur support (UM) - Total éliminations;integer;default;;;;;;
D419;documents_audiovisuels_support_total_documents_video_eliminations_um;Documents audiovisuels sur support - Documents vidéo - Sur support (UM) - Total éliminations;integer;default;;;;;;
D521;ress_num_acq_livres;Ressources numériques acquises - bouquets - livres - boolean;boolean;default;;;;;;
D522;ress_num_acq_livres_fournisseurs;Ressources numériques acquises - bouquets - livres - nom des offres;string;default;;;;;;
D523;ress_num_acq_livres_audio;Ressources numériques acquises - bouquets - livres enregistrés - boolean;boolean;default;;;;;;
D524;ress_num_acq_livres_audio_fournisseurs;Ressources numériques acquises - bouquets - livres enregistrés - nom des offres;string;default;;;;;;
D527;ress_num_acq_musique;Ressources numériques acquises - bouquets - musique - boolean;boolean;default;;;;;;
D528;ress_num_acq_musique_fournisseurs;Ressources numériques acquises - bouquets - musique - nom des offres;string;default;;;;;;
D529;ress_num_acq_video;Ressources numériques acquises - bouquets - vidéo - boolean;boolean;default;;;;;;
D530;ress_num_acq_video_fournisseurs;Ressources numériques acquises - bouquets - vidéo - nom des offres;string;default;;;;;;
D531;ress_num_acq_presse;Ressources numériques acquises - bouquets - presse - boolean;boolean;default;;;;;;
